size    stride    elapsed(s)    cycles
[LOG]: running with array of size 4 KiB
4096    1    0.001080    1080
4096    2    0.001043    1044
4096    4    0.001018    1018
4096    8    0.000989    989
4096    16    0.001016    1016
4096    32    0.000991    990
4096    64    0.000959    958
4096    128    0.001175    1173
4096    256    0.000910    910
4096    512    0.000869    869
4096    1024    0.000898    898
4096    2048    0.000818    819
[LOG]: running with array of size 8 KiB
8192    1    0.002094    2094
8192    2    0.002075    2074
8192    4    0.002204    2204
8192    8    0.002127    2126
8192    16    0.002220    2220
8192    32    0.002314    2314
8192    64    0.002226    2226
8192    128    0.002396    2396
8192    256    0.001996    1996
8192    512    0.001913    1912
8192    1024    0.001844    1843
8192    2048    0.001924    1920
8192    4096    0.001926    1926
[LOG]: running with array of size 16 KiB
16384    1    0.004223    4223
16384    2    0.004288    4288
16384    4    0.004223    4222
16384    8    0.004139    4138
16384    16    0.004142    4142
16384    32    0.004489    4488
16384    64    0.004567    4567
16384    128    0.004871    4871
16384    256    0.003957    3957
16384    512    0.004195    4194
16384    1024    0.003759    3757
16384    2048    0.003746    3747
16384    4096    0.004051    4050
16384    8192    0.003899    3899
[LOG]: running with array of size 32 KiB
32768    1    0.008238    8239
32768    2    0.008116    8115
32768    4    0.008367    8366
32768    8    0.008225    8224
32768    16    0.008192    8191
32768    32    0.008253    8253
32768    64    0.008365    8364
32768    128    0.009034    9032
32768    256    0.007998    7998
32768    512    0.007809    7807
32768    1024    0.007621    7621
32768    2048    0.007415    7414
32768    4096    0.008162    8162
32768    8192    0.007719    7718
32768    16384    0.007978    7978
[LOG]: running with array of size 64 KiB
65536    1    0.015023    15023
65536    2    0.013917    13916
65536    4    0.016294    16293
65536    8    0.017139    17138
65536    16    0.017348    17348
65536    32    0.016613    16612
65536    64    0.015627    15626
65536    128    0.016343    16343
65536    256    0.014317    14316
65536    512    0.013890    13887
65536    1024    0.014217    14217
65536    2048    0.017913    17912
65536    4096    0.056271    56271
65536    8192    0.016414    16414
65536    16384    0.015949    15949
65536    32768    0.015134    15133
[LOG]: running with array of size 128 KiB
131072    1    0.029434    29434
131072    2    0.027764    27764
131072    4    0.031613    31612
131072    8    0.032646    32646
131072    16    0.033789    33788
131072    32    0.032064    32063
131072    64    0.029605    29605
131072    128    0.031425    31425
131072    256    0.030528    30528
131072    512    0.031100    31101
131072    1024    0.032009    32009
131072    2048    0.079119    79119
131072    4096    0.130392    130392
131072    8192    0.074264    74263
131072    16384    0.032480    32480
131072    32768    0.032112    32112
131072    65536    0.030624    30623
[LOG]: running with array of size 256 KiB
262144    1    0.058666    58667
262144    2    0.056131    56131
262144    4    0.063738    63737
262144    8    0.065605    65605
262144    16    0.065063    65062
262144    32    0.063149    63148
262144    64    0.060691    60691
262144    128    0.067435    67434
262144    256    0.073186    73185
262144    512    0.073968    73968
262144    1024    0.077485    77485
262144    2048    0.152251    152250
262144    4096    0.267262    267261
262144    8192    0.259039    259038
262144    16384    0.230897    230896
262144    32768    0.068450    68450
262144    65536    0.067527    67527
262144    131072    0.063098    63097
[LOG]: running with array of size 512 KiB
524288    1    0.121010    121009
524288    2    0.117905    117905
524288    4    0.126193    126193
524288    8    0.125422    125422
524288    16    0.133977    133977
524288    32    0.123015    123014
524288    64    0.134420    134418
524288    128    0.178973    178969
524288    256    0.199750    199749
524288    512    0.181445    181445
524288    1024    0.196440    196440
524288    2048    0.215570    215569
524288    4096    0.544678    544677
524288    8192    0.504911    504910
524288    16384    0.502652    502651
524288    32768    0.448734    448733
524288    65536    0.134678    134677
524288    131072    0.129420    129420
524288    262144    0.121706    121706
[LOG]: running with array of size 1024 KiB
1048576    1    0.239004    239003
1048576    2    0.239805    239805
1048576    4    0.258023    258022
1048576    8    0.261978    261977
1048576    16    0.288998    288998
1048576    32    0.299784    299784
1048576    64    0.272687    272686
1048576    128    0.315109    315109
1048576    256    0.383458    383458
1048576    512    0.416221    416220
1048576    1024    0.421685    421685
1048576    2048    0.378244    378244
